,headlineandshortdescr,shortdescrncaption,headlineandcaption,headlineandOFA,shortdescrandOFA,actualcaptionandOFA
0,"('contradiction', ' 0.52%')","('contradiction', ' 0.70%')","('contradiction', ' 0.82%')","('contradiction', ' 0.78%')","('contradiction', ' 0.73%')","('contradiction', ' 0.80%')"
1,"('neutral', ' 0.80%')","('contradiction', ' 0.87%')","('neutral', ' 0.66%')","('contradiction', ' 0.58%')","('contradiction', ' 0.65%')","('contradiction', ' 0.77%')"
2,"('neutral', ' 0.65%')","('contradiction', ' 0.64%')","('contradiction', ' 0.63%')","('contradiction', ' 0.77%')","('contradiction', ' 0.69%')","('contradiction', ' 0.71%')"
3,"('neutral', ' 0.72%')","('neutral', ' 0.84%')","('neutral', ' 0.87%')","('contradiction', ' 0.73%')","('contradiction', ' 0.69%')","('contradiction', ' 0.72%')"
4,"('contradiction', ' 0.50%')","('neutral', ' 0.63%')","('neutral', ' 0.82%')","('contradiction', ' 0.67%')","('contradiction', ' 0.57%')","('contradiction', ' 0.71%')"
5,"('neutral', ' 0.72%')","('neutral', ' 0.80%')","('neutral', ' 0.82%')","('contradiction', ' 0.83%')","('contradiction', ' 0.67%')","('contradiction', ' 0.75%')"
6,"('neutral', ' 0.90%')","('neutral', ' 0.63%')","('neutral', ' 0.93%')","('contradiction', ' 0.61%')","('contradiction', ' 0.65%')","('contradiction', ' 0.68%')"
7,"('contradiction', ' 0.67%')","('neutral', ' 0.51%')","('neutral', ' 0.56%')","('contradiction', ' 0.72%')","('contradiction', ' 0.70%')","('contradiction', ' 0.55%')"
8,"('neutral', ' 0.67%')","('neutral', ' 0.90%')","('neutral', ' 0.93%')","('contradiction', ' 0.66%')","('contradiction', ' 0.69%')","('contradiction', ' 0.54%')"
9,"('neutral', ' 0.57%')","('contradiction', ' 0.51%')","('contradiction', ' 0.36%')","('contradiction', ' 0.68%')","('contradiction', ' 0.59%')","('contradiction', ' 0.56%')"
10,"('contradiction', ' 0.73%')","('contradiction', ' 0.76%')","('contradiction', ' 0.83%')","('contradiction', ' 0.87%')","('contradiction', ' 0.87%')","('contradiction', ' 0.85%')"
11,"('neutral', ' 0.51%')","('neutral', ' 0.88%')","('neutral', ' 0.90%')","('contradiction', ' 0.54%')","('contradiction', ' 0.46%')","('entailment', ' 0.46%')"
12,"('neutral', ' 0.65%')","('neutral', ' 0.84%')","('neutral', ' 0.76%')","('contradiction', ' 0.62%')","('contradiction', ' 0.75%')","('contradiction', ' 0.53%')"
13,"('neutral', ' 0.50%')","('neutral', ' 0.74%')","('neutral', ' 0.79%')","('contradiction', ' 0.73%')","('contradiction', ' 0.61%')","('contradiction', ' 0.72%')"
14,"('contradiction', ' 0.93%')","('contradiction', ' 0.64%')","('neutral', ' 0.51%')","('contradiction', ' 0.85%')","('contradiction', ' 0.83%')","('contradiction', ' 0.82%')"
15,"('neutral', ' 0.75%')","('neutral', ' 0.67%')","('neutral', ' 0.62%')","('contradiction', ' 0.72%')","('contradiction', ' 0.70%')","('contradiction', ' 0.74%')"
16,"('contradiction', ' 0.94%')","('neutral', ' 0.96%')","('neutral', ' 0.56%')","('contradiction', ' 0.72%')","('contradiction', ' 0.77%')","('contradiction', ' 0.57%')"
17,"('neutral', ' 0.81%')","('neutral', ' 0.75%')","('neutral', ' 0.79%')","('contradiction', ' 0.78%')","('contradiction', ' 0.69%')","('contradiction', ' 0.68%')"
18,"('contradiction', ' 0.68%')","('neutral', ' 0.68%')","('neutral', ' 0.75%')","('contradiction', ' 0.85%')","('contradiction', ' 0.60%')","('contradiction', ' 0.67%')"
19,"('neutral', ' 0.79%')","('neutral', ' 0.85%')","('neutral', ' 0.92%')","('contradiction', ' 0.77%')","('contradiction', ' 0.61%')","('contradiction', ' 0.74%')"
20,"('neutral', ' 0.90%')","('contradiction', ' 0.65%')","('contradiction', ' 0.60%')","('contradiction', ' 0.73%')","('contradiction', ' 0.76%')","('contradiction', ' 0.71%')"
21,"('neutral', ' 0.56%')","('neutral', ' 0.96%')","('neutral', ' 0.91%')","('contradiction', ' 0.65%')","('contradiction', ' 0.61%')","('contradiction', ' 0.62%')"
22,"('neutral', ' 0.75%')","('neutral', ' 0.93%')","('neutral', ' 0.81%')","('contradiction', ' 0.53%')","('contradiction', ' 0.66%')","('contradiction', ' 0.56%')"
23,"('neutral', ' 0.87%')","('neutral', ' 0.69%')","('neutral', ' 0.62%')","('contradiction', ' 0.72%')","('contradiction', ' 0.69%')","('contradiction', ' 0.77%')"
24,"('neutral', ' 0.75%')","('neutral', ' 0.66%')","('neutral', ' 0.88%')","('contradiction', ' 0.81%')","('contradiction', ' 0.75%')","('contradiction', ' 0.80%')"
25,"('neutral', ' 0.77%')","('neutral', ' 0.74%')","('neutral', ' 0.72%')","('contradiction', ' 0.67%')","('contradiction', ' 0.69%')","('contradiction', ' 0.75%')"
26,"('entailment', ' 0.56%')","('neutral', ' 0.65%')","('neutral', ' 0.61%')","('contradiction', ' 0.59%')","('contradiction', ' 0.65%')","('contradiction', ' 0.82%')"
27,"('neutral', ' 0.77%')","('neutral', ' 0.78%')","('contradiction', ' 0.52%')","('contradiction', ' 0.80%')","('contradiction', ' 0.61%')","('contradiction', ' 0.76%')"
28,"('neutral', ' 0.52%')","('neutral', ' 0.76%')","('neutral', ' 0.83%')","('contradiction', ' 0.67%')","('contradiction', ' 0.65%')","('contradiction', ' 0.59%')"
29,"('neutral', ' 0.52%')","('neutral', ' 0.87%')","('neutral', ' 0.70%')","('contradiction', ' 0.83%')","('contradiction', ' 0.84%')","('contradiction', ' 0.84%')"
30,"('neutral', ' 0.72%')","('neutral', ' 0.59%')","('neutral', ' 0.93%')","('contradiction', ' 0.70%')","('contradiction', ' 0.70%')","('contradiction', ' 0.62%')"
31,"('neutral', ' 0.62%')","('neutral', ' 0.55%')","('contradiction', ' 0.50%')","('contradiction', ' 0.76%')","('contradiction', ' 0.68%')","('contradiction', ' 0.74%')"
32,"('neutral', ' 0.68%')","('neutral', ' 0.79%')","('neutral', ' 0.41%')","('contradiction', ' 0.72%')","('contradiction', ' 0.61%')","('contradiction', ' 0.67%')"
33,"('entailment', ' 0.37%')","('contradiction', ' 0.64%')","('contradiction', ' 0.60%')","('contradiction', ' 0.65%')","('contradiction', ' 0.65%')","('contradiction', ' 0.67%')"
34,"('neutral', ' 0.40%')","('neutral', ' 0.95%')","('neutral', ' 0.95%')","('contradiction', ' 0.63%')","('contradiction', ' 0.55%')","('contradiction', ' 0.64%')"
35,"('neutral', ' 0.80%')","('contradiction', ' 0.75%')","('contradiction', ' 0.80%')","('contradiction', ' 0.60%')","('contradiction', ' 0.71%')","('contradiction', ' 0.79%')"
36,"('neutral', ' 0.52%')","('contradiction', ' 0.95%')","('neutral', ' 0.64%')","('contradiction', ' 0.67%')","('contradiction', ' 0.59%')","('contradiction', ' 0.63%')"
37,"('contradiction', ' 0.59%')","('neutral', ' 0.61%')","('neutral', ' 0.59%')","('contradiction', ' 0.80%')","('contradiction', ' 0.62%')","('contradiction', ' 0.71%')"
38,"('contradiction', ' 0.52%')","('contradiction', ' 0.70%')","('neutral', ' 0.67%')","('contradiction', ' 0.54%')","('contradiction', ' 0.61%')","('contradiction', ' 0.63%')"
39,"('neutral', ' 0.52%')","('neutral', ' 0.78%')","('neutral', ' 0.79%')","('contradiction', ' 0.53%')","('contradiction', ' 0.67%')","('contradiction', ' 0.60%')"
40,"('neutral', ' 0.71%')","('neutral', ' 0.89%')","('neutral', ' 0.83%')","('contradiction', ' 0.76%')","('contradiction', ' 0.69%')","('contradiction', ' 0.78%')"
41,"('neutral', ' 0.70%')","('neutral', ' 0.82%')","('neutral', ' 0.66%')","('contradiction', ' 0.80%')","('contradiction', ' 0.85%')","('contradiction', ' 0.85%')"
42,"('contradiction', ' 0.54%')","('contradiction', ' 0.80%')","('contradiction', ' 0.57%')","('contradiction', ' 0.56%')","('contradiction', ' 0.63%')","('contradiction', ' 0.75%')"
43,"('neutral', ' 0.50%')","('neutral', ' 0.78%')","('neutral', ' 0.76%')","('contradiction', ' 0.73%')","('contradiction', ' 0.71%')","('contradiction', ' 0.63%')"
44,"('neutral', ' 0.81%')","('contradiction', ' 0.60%')","('neutral', ' 0.54%')","('contradiction', ' 0.71%')","('contradiction', ' 0.57%')","('contradiction', ' 0.82%')"
45,"('neutral', ' 0.74%')","('neutral', ' 0.92%')","('neutral', ' 0.90%')","('contradiction', ' 0.71%')","('contradiction', ' 0.56%')","('contradiction', ' 0.51%')"
46,"('neutral', ' 0.62%')","('contradiction', ' 0.79%')","('neutral', ' 0.77%')","('contradiction', ' 0.76%')","('contradiction', ' 0.63%')","('contradiction', ' 0.69%')"
47,"('neutral', ' 0.82%')","('contradiction', ' 0.96%')","('contradiction', ' 0.50%')","('contradiction', ' 0.42%')","('contradiction', ' 0.66%')","('contradiction', ' 0.76%')"
48,"('neutral', ' 0.51%')","('contradiction', ' 0.62%')","('neutral', ' 0.55%')","('contradiction', ' 0.85%')","('contradiction', ' 0.83%')","('contradiction', ' 0.85%')"
49,"('contradiction', ' 0.59%')","('contradiction', ' 0.55%')","('neutral', ' 0.55%')","('contradiction', ' 0.77%')","('contradiction', ' 0.71%')","('contradiction', ' 0.72%')"
50,"('neutral', ' 0.57%')","('neutral', ' 0.62%')","('neutral', ' 0.71%')","('contradiction', ' 0.74%')","('contradiction', ' 0.75%')","('contradiction', ' 0.84%')"
51,"('neutral', ' 0.76%')","('neutral', ' 0.89%')","('neutral', ' 0.82%')","('contradiction', ' 0.69%')","('contradiction', ' 0.81%')","('contradiction', ' 0.73%')"
52,"('contradiction', ' 0.96%')","('contradiction', ' 0.83%')","('contradiction', ' 0.83%')","('contradiction', ' 0.70%')","('contradiction', ' 0.61%')","('contradiction', ' 0.72%')"
53,"('neutral', ' 0.84%')","('neutral', ' 0.93%')","('neutral', ' 0.86%')","('contradiction', ' 0.68%')","('contradiction', ' 0.70%')","('contradiction', ' 0.64%')"
54,"('contradiction', ' 0.86%')","('contradiction', ' 0.91%')","('contradiction', ' 0.58%')","('contradiction', ' 0.92%')","('contradiction', ' 0.82%')","('contradiction', ' 0.90%')"
55,"('neutral', ' 0.71%')","('neutral', ' 0.96%')","('neutral', ' 0.78%')","('contradiction', ' 0.52%')","('contradiction', ' 0.59%')","('contradiction', ' 0.61%')"
56,"('neutral', ' 0.52%')","('neutral', ' 0.92%')","('neutral', ' 0.82%')","('contradiction', ' 0.75%')","('contradiction', ' 0.67%')","('contradiction', ' 0.67%')"
57,"('contradiction', ' 0.50%')","('contradiction', ' 0.51%')","('neutral', ' 0.94%')","('contradiction', ' 0.64%')","('contradiction', ' 0.55%')","('contradiction', ' 0.69%')"
58,"('neutral', ' 0.51%')","('contradiction', ' 0.92%')","('contradiction', ' 0.61%')","('contradiction', ' 0.72%')","('contradiction', ' 0.76%')","('contradiction', ' 0.73%')"
59,"('neutral', ' 0.77%')","('contradiction', ' 0.80%')","('contradiction', ' 0.44%')","('contradiction', ' 0.67%')","('contradiction', ' 0.55%')","('contradiction', ' 0.59%')"
60,"('contradiction', ' 0.89%')","('neutral', ' 0.72%')","('neutral', ' 0.72%')","('contradiction', ' 0.79%')","('contradiction', ' 0.82%')","('contradiction', ' 0.73%')"
61,"('neutral', ' 0.59%')","('neutral', ' 0.92%')","('neutral', ' 0.84%')","('contradiction', ' 0.86%')","('contradiction', ' 0.77%')","('contradiction', ' 0.79%')"
62,"('neutral', ' 0.87%')","('neutral', ' 0.80%')","('neutral', ' 0.88%')","('contradiction', ' 0.76%')","('contradiction', ' 0.62%')","('contradiction', ' 0.64%')"
63,"('contradiction', ' 0.55%')","('contradiction', ' 0.70%')","('contradiction', ' 0.76%')","('contradiction', ' 0.72%')","('contradiction', ' 0.37%')","('contradiction', ' 0.74%')"
64,"('neutral', ' 0.68%')","('neutral', ' 0.52%')","('neutral', ' 0.64%')","('contradiction', ' 0.67%')","('contradiction', ' 0.63%')","('contradiction', ' 0.70%')"
65,"('neutral', ' 0.58%')","('contradiction', ' 0.88%')","('contradiction', ' 0.83%')","('contradiction', ' 0.84%')","('contradiction', ' 0.60%')","('contradiction', ' 0.82%')"
66,"('neutral', ' 0.72%')","('neutral', ' 0.96%')","('neutral', ' 0.75%')","('contradiction', ' 0.79%')","('contradiction', ' 0.66%')","('contradiction', ' 0.73%')"
67,"('neutral', ' 0.72%')","('neutral', ' 0.82%')","('neutral', ' 0.73%')","('contradiction', ' 0.81%')","('contradiction', ' 0.80%')","('contradiction', ' 0.82%')"
68,"('neutral', ' 0.62%')","('neutral', ' 0.87%')","('neutral', ' 0.74%')","('contradiction', ' 0.63%')","('contradiction', ' 0.52%')","('contradiction', ' 0.47%')"
69,"('neutral', ' 0.86%')","('contradiction', ' 0.81%')","('contradiction', ' 0.63%')","('contradiction', ' 0.76%')","('contradiction', ' 0.84%')","('contradiction', ' 0.87%')"
70,"('contradiction', ' 0.76%')","('neutral', ' 0.88%')","('neutral', ' 0.96%')","('contradiction', ' 0.73%')","('contradiction', ' 0.78%')","('contradiction', ' 0.70%')"
71,"('neutral', ' 0.87%')","('neutral', ' 0.95%')","('neutral', ' 0.84%')","('contradiction', ' 0.70%')","('contradiction', ' 0.66%')","('contradiction', ' 0.71%')"
72,"('neutral', ' 0.94%')","('neutral', ' 0.60%')","('neutral', ' 0.56%')","('contradiction', ' 0.70%')","('contradiction', ' 0.55%')","('contradiction', ' 0.65%')"
73,"('contradiction', ' 0.63%')","('contradiction', ' 0.94%')","('neutral', ' 0.86%')","('contradiction', ' 0.72%')","('contradiction', ' 0.64%')","('contradiction', ' 0.87%')"
74,"('neutral', ' 0.58%')","('neutral', ' 0.66%')","('neutral', ' 0.67%')","('contradiction', ' 0.68%')","('contradiction', ' 0.68%')","('contradiction', ' 0.57%')"
75,"('neutral', ' 0.79%')","('neutral', ' 0.97%')","('neutral', ' 0.94%')","('contradiction', ' 0.50%')","('contradiction', ' 0.69%')","('contradiction', ' 0.68%')"
76,"('neutral', ' 0.84%')","('neutral', ' 0.82%')","('neutral', ' 0.85%')","('contradiction', ' 0.76%')","('contradiction', ' 0.75%')","('contradiction', ' 0.75%')"
77,"('neutral', ' 0.73%')","('neutral', ' 0.82%')","('neutral', ' 0.68%')","('contradiction', ' 0.85%')","('contradiction', ' 0.63%')","('contradiction', ' 0.68%')"
78,"('neutral', ' 0.64%')","('neutral', ' 0.65%')","('entailment', ' 0.46%')","('contradiction', ' 0.79%')","('contradiction', ' 0.85%')","('contradiction', ' 0.70%')"
79,"('neutral', ' 0.70%')","('contradiction', ' 0.52%')","('contradiction', ' 0.58%')","('contradiction', ' 0.81%')","('contradiction', ' 0.71%')","('contradiction', ' 0.77%')"
80,"('contradiction', ' 0.57%')","('contradiction', ' 0.50%')","('contradiction', ' 0.55%')","('contradiction', ' 0.69%')","('contradiction', ' 0.89%')","('contradiction', ' 0.86%')"
81,"('neutral', ' 0.96%')","('neutral', ' 0.87%')","('neutral', ' 0.79%')","('contradiction', ' 0.65%')","('contradiction', ' 0.62%')","('contradiction', ' 0.72%')"
82,"('neutral', ' 0.71%')","('neutral', ' 0.71%')","('contradiction', ' 0.53%')","('contradiction', ' 0.58%')","('contradiction', ' 0.56%')","('contradiction', ' 0.69%')"
83,"('neutral', ' 0.64%')","('neutral', ' 0.89%')","('neutral', ' 0.95%')","('contradiction', ' 0.75%')","('contradiction', ' 0.65%')","('contradiction', ' 0.72%')"
84,"('neutral', ' 0.81%')","('neutral', ' 0.50%')","('neutral', ' 0.83%')","('contradiction', ' 0.68%')","('contradiction', ' 0.60%')","('contradiction', ' 0.59%')"
85,"('neutral', ' 0.64%')","('neutral', ' 0.69%')","('contradiction', ' 0.71%')","('contradiction', ' 0.75%')","('contradiction', ' 0.62%')","('contradiction', ' 0.63%')"
86,"('neutral', ' 0.70%')","('neutral', ' 0.73%')","('neutral', ' 0.65%')","('contradiction', ' 0.81%')","('contradiction', ' 0.69%')","('contradiction', ' 0.65%')"
87,"('contradiction', ' 0.87%')","('neutral', ' 0.52%')","('neutral', ' 0.63%')","('contradiction', ' 0.83%')","('contradiction', ' 0.82%')","('contradiction', ' 0.85%')"
88,"('neutral', ' 0.92%')","('neutral', ' 0.80%')","('neutral', ' 0.84%')","('contradiction', ' 0.78%')","('contradiction', ' 0.66%')","('contradiction', ' 0.56%')"
89,"('neutral', ' 0.90%')","('neutral', ' 0.65%')","('neutral', ' 0.79%')","('contradiction', ' 0.45%')","('contradiction', ' 0.65%')","('contradiction', ' 0.75%')"
90,"('neutral', ' 0.74%')","('neutral', ' 0.92%')","('neutral', ' 0.85%')","('contradiction', ' 0.72%')","('contradiction', ' 0.62%')","('contradiction', ' 0.65%')"
91,"('neutral', ' 0.73%')","('neutral', ' 0.70%')","('neutral', ' 0.59%')","('contradiction', ' 0.61%')","('contradiction', ' 0.70%')","('contradiction', ' 0.52%')"
92,"('neutral', ' 0.73%')","('neutral', ' 0.67%')","('neutral', ' 0.75%')","('contradiction', ' 0.78%')","('contradiction', ' 0.74%')","('contradiction', ' 0.64%')"
93,"('contradiction', ' 0.61%')","('neutral', ' 0.79%')","('neutral', ' 0.93%')","('contradiction', ' 0.69%')","('contradiction', ' 0.82%')","('contradiction', ' 0.68%')"
94,"('neutral', ' 0.82%')","('neutral', ' 0.83%')","('neutral', ' 0.89%')","('contradiction', ' 0.66%')","('contradiction', ' 0.61%')","('contradiction', ' 0.65%')"
95,"('contradiction', ' 0.73%')","('neutral', ' 0.57%')","('neutral', ' 0.62%')","('contradiction', ' 0.82%')","('contradiction', ' 0.83%')","('contradiction', ' 0.84%')"
96,"('neutral', ' 0.65%')","('contradiction', ' 0.75%')","('contradiction', ' 0.52%')","('contradiction', ' 0.73%')","('contradiction', ' 0.60%')","('contradiction', ' 0.75%')"
97,"('contradiction', ' 0.60%')","('neutral', ' 0.68%')","('contradiction', ' 0.57%')","('contradiction', ' 0.78%')","('contradiction', ' 0.85%')","('contradiction', ' 0.78%')"
98,"('neutral', ' 0.71%')","('contradiction', ' 0.50%')","('contradiction', ' 0.54%')","('contradiction', ' 0.62%')","('contradiction', ' 0.46%')","('contradiction', ' 0.60%')"
99,"('neutral', ' 0.75%')","('neutral', ' 0.68%')","('contradiction', ' 0.51%')","('contradiction', ' 0.62%')","('contradiction', ' 0.55%')","('contradiction', ' 0.83%')"
100,"('neutral', ' 0.62%')","('contradiction', ' 0.70%')","('contradiction', ' 0.58%')","('contradiction', ' 0.87%')","('contradiction', ' 0.80%')","('contradiction', ' 0.79%')"
101,"('contradiction', ' 0.57%')","('neutral', ' 0.60%')","('contradiction', ' 0.81%')","('contradiction', ' 0.82%')","('contradiction', ' 0.76%')","('contradiction', ' 0.90%')"
102,"('entailment', ' 0.62%')","('neutral', ' 0.64%')","('neutral', ' 0.59%')","('contradiction', ' 0.63%')","('contradiction', ' 0.38%')","('contradiction', ' 0.61%')"
103,"('contradiction', ' 0.73%')","('contradiction', ' 0.98%')","('contradiction', ' 0.74%')","('contradiction', ' 0.70%')","('contradiction', ' 0.65%')","('contradiction', ' 0.90%')"
104,"('neutral', ' 0.37%')","('neutral', ' 0.89%')","('neutral', ' 0.79%')","('contradiction', ' 0.80%')","('contradiction', ' 0.64%')","('contradiction', ' 0.73%')"
105,"('neutral', ' 0.56%')","('neutral', ' 0.54%')","('contradiction', ' 0.60%')","('contradiction', ' 0.81%')","('contradiction', ' 0.75%')","('contradiction', ' 0.80%')"
106,"('contradiction', ' 0.38%')","('contradiction', ' 0.78%')","('neutral', ' 0.62%')","('contradiction', ' 0.70%')","('contradiction', ' 0.67%')","('contradiction', ' 0.74%')"
107,"('entailment', ' 0.55%')","('contradiction', ' 0.92%')","('neutral', ' 0.53%')","('contradiction', ' 0.67%')","('contradiction', ' 0.68%')","('contradiction', ' 0.82%')"
108,"('neutral', ' 0.78%')","('neutral', ' 0.98%')","('neutral', ' 0.84%')","('contradiction', ' 0.87%')","('contradiction', ' 0.83%')","('contradiction', ' 0.86%')"
109,"('neutral', ' 0.74%')","('neutral', ' 0.83%')","('neutral', ' 0.93%')","('contradiction', ' 0.65%')","('contradiction', ' 0.64%')","('contradiction', ' 0.67%')"
110,"('contradiction', ' 0.63%')","('contradiction', ' 0.84%')","('neutral', ' 0.66%')","('contradiction', ' 0.75%')","('contradiction', ' 0.80%')","('contradiction', ' 0.90%')"
111,"('neutral', ' 0.87%')","('neutral', ' 0.95%')","('neutral', ' 0.92%')","('contradiction', ' 0.70%')","('contradiction', ' 0.57%')","('contradiction', ' 0.76%')"
112,"('neutral', ' 0.83%')","('neutral', ' 0.78%')","('neutral', ' 0.78%')","('contradiction', ' 0.73%')","('contradiction', ' 0.71%')","('contradiction', ' 0.94%')"
113,"('neutral', ' 0.79%')","('neutral', ' 0.65%')","('neutral', ' 0.73%')","('contradiction', ' 0.68%')","('contradiction', ' 0.64%')","('contradiction', ' 0.87%')"
114,"('neutral', ' 0.60%')","('neutral', ' 0.67%')","('neutral', ' 0.73%')","('contradiction', ' 0.67%')","('contradiction', ' 0.73%')","('contradiction', ' 0.71%')"
115,"('contradiction', ' 0.76%')","('neutral', ' 0.68%')","('neutral', ' 0.87%')","('contradiction', ' 0.84%')","('contradiction', ' 0.80%')","('contradiction', ' 0.78%')"
116,"('contradiction', ' 0.84%')","('neutral', ' 0.62%')","('neutral', ' 0.67%')","('contradiction', ' 0.66%')","('contradiction', ' 0.55%')","('contradiction', ' 0.56%')"
117,"('contradiction', ' 0.78%')","('neutral', ' 0.53%')","('contradiction', ' 0.78%')","('contradiction', ' 0.81%')","('contradiction', ' 0.67%')","('contradiction', ' 0.80%')"
118,"('contradiction', ' 0.93%')","('contradiction', ' 0.76%')","('contradiction', ' 0.52%')","('contradiction', ' 0.69%')","('contradiction', ' 0.71%')","('contradiction', ' 0.69%')"
119,"('neutral', ' 0.59%')","('neutral', ' 0.88%')","('neutral', ' 0.86%')","('contradiction', ' 0.81%')","('contradiction', ' 0.78%')","('contradiction', ' 0.75%')"
120,"('contradiction', ' 0.39%')","('contradiction', ' 0.51%')","('contradiction', ' 0.53%')","('contradiction', ' 0.73%')","('contradiction', ' 0.62%')","('contradiction', ' 0.62%')"
121,"('neutral', ' 0.47%')","('neutral', ' 0.60%')","('neutral', ' 0.64%')","('contradiction', ' 0.75%')","('contradiction', ' 0.80%')","('contradiction', ' 0.73%')"
122,"('contradiction', ' 0.78%')","('contradiction', ' 0.71%')","('neutral', ' 0.76%')","('contradiction', ' 0.82%')","('contradiction', ' 0.77%')","('contradiction', ' 0.80%')"
123,"('contradiction', ' 0.40%')","('contradiction', ' 0.79%')","('neutral', ' 0.90%')","('contradiction', ' 0.53%')","('contradiction', ' 0.61%')","('contradiction', ' 0.63%')"
