,Unnamed: 0,category,headline,authors,link,short descr,date,image_caption(s),image_link(s),headline,short descr,image caption
0,,,,,,,,,,0.008719208650290966,0.005829242989420891,0.9854515194892883
1,1.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,"Donna Bloom, director of legal services at Denton County Friends of the Family, visits Amanda at the transitional housing.",https://img.huffingtonpost.com/asset/5b081d6c1e0000bf048e69a4.jpeg?ops=scalefit_1280_noupscale,0.8688585758209229,0.13113625347614288,0.0
2,2.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/5b081c9f1e00007d038e69a3.jpeg?ops=scalefit_1280_noupscale,0.8735520839691162,0.12618698179721832,0.0
3,3.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/5b0844b51a00002700cdfcb3.jpeg?ops=scalefit_1280_noupscale,0.0004913719603791833,0.0021413136273622513,0.9973673224449158
4,4.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,"Melissa Jeltsen - Senior Reporter, HuffPost",https://img.huffingtonpost.com/asset/5c1128ec2400002b055871f8.png?ops=100_100,0.008977989666163921,0.9759458899497986,0.0
5,5.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb083f210000744f5ee967.jpeg?cache=fDTPw8dBXb&ops=434_244%2Cquality_75,0.006420453544706106,0.8872910141944885,0.0
6,6.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb083f210000744f5ee967.jpeg?cache=fDTPw8dBXb&ops=240_240,0.020834671333432198,0.17792247235774994,0.0
7,7.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62baebcf2200002f474f7dde.png?cache=pFHU8hsIDN&ops=434_244%2Cquality_75,0.007629991974681616,0.14950063824653625,0.0
8,8.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62baebcf2200002f474f7dde.png?cache=pFHU8hsIDN&ops=240_240,0.001945597119629383,0.99184250831604,0.0
9,9.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62b1f58a250000db1232e41f.png?ops=434_244%2Cquality_75,0.0005244131898507476,0.2317914515733719,0.7676841020584106
10,10.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,Andy McDonald,https://img.huffingtonpost.com/asset/55f1b6b3170000b900569da5.jpg?ops=100_100,1.1286542758170981e-05,0.08248007297515869,0.0
11,11.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/5b057da01a00002700cdf8cd.jpeg?ops=scalefit_960_noupscale,1.2886100194009487e-05,0.005695675499737263,0.9942914247512817
12,12.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,"Andy McDonald - Writer, HuffPost",https://img.huffingtonpost.com/asset/55f1b6b3170000b900569da5.jpg?ops=100_100,0.00797552801668644,0.4117569923400879,0.0
13,13.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb3d1d250000845032edbe.jpeg?ops=92_92,7.3827327469189186e-06,0.393643856048584,0.0
14,14.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bae6ed210000bf375ee937.jpeg?cache=XvO6LwHdKL&ops=92_92,1.1371482287358958e-05,0.03373231366276741,0.0
15,15.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bad7102500002549474bca.jpeg?cache=DmFZo6tnRV&ops=92_92,0.00031705829314887524,0.3145185112953186,0.0
16,16.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb42f12500000a38474c6a.jpeg?cache=2rpzBgHXMJ&ops=92_92,0.001199522870592773,0.17458681762218475,0.0
17,17.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bacdd82500000745474bc0.jpeg?ops=92_92,7.502268140058277e-09,0.38877347111701965,0.0
18,18.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb083f210000744f5ee967.jpeg?cache=fDTPw8dBXb&ops=434_244%2Cquality_75,1.2581375585796195e-06,0.09780149161815643,0.0
19,19.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb083f210000744f5ee967.jpeg?cache=fDTPw8dBXb&ops=240_240,7.1820786615717225e-06,0.1002996489405632,0.8996931910514832
20,20.0,ENTERTAINMENT,Hugh Grant Marries For The First Time At Age 57,Ron Dicker,https://www.huffingtonpost.com/entry/hugh-grant-marries_us_5b09212ce4b0568a880b9a8c,The actor and his longtime girlfriend Anna Eberstein tied the knot in a civil ceremony.,2018-05-26,Ron Dicker,https://img.huffingtonpost.com/asset/5cd400b62100005900d41396.jpg?ops=100_100,0.0007149433949962258,0.9991287589073181,0.0
21,21.0,ENTERTAINMENT,Hugh Grant Marries For The First Time At Age 57,Ron Dicker,https://www.huffingtonpost.com/entry/hugh-grant-marries_us_5b09212ce4b0568a880b9a8c,The actor and his longtime girlfriend Anna Eberstein tied the knot in a civil ceremony.,2018-05-26,,https://img.huffingtonpost.com/asset/62b4ca7d210000133d5ee3de.jpg?cache=4zRb55wGC5&ops=210_120,0.014345435425639153,0.6521302461624146,0.0
22,22.0,ENTERTAINMENT,Hugh Grant Marries For The First Time At Age 57,Ron Dicker,https://www.huffingtonpost.com/entry/hugh-grant-marries_us_5b09212ce4b0568a880b9a8c,The actor and his longtime girlfriend Anna Eberstein tied the knot in a civil ceremony.,2018-05-26,,https://img.huffingtonpost.com/asset/62b8bc4c21000029445ee6b8.jpeg?cache=hVUCitSywj&ops=210_120,0.004996538162231445,0.05577372759580612,0.0
23,23.0,ENTERTAINMENT,Hugh Grant Marries For The First Time At Age 57,Ron Dicker,https://www.huffingtonpost.com/entry/hugh-grant-marries_us_5b09212ce4b0568a880b9a8c,The actor and his longtime girlfriend Anna Eberstein tied the knot in a civil ceremony.,2018-05-26,,https://img.huffingtonpost.com/asset/62ba3a11220000a0394f7d51.png?cache=yQ0HvPrhY8&ops=210_120,0.0026227449998259544,0.9784938097000122,0.0
24,24.0,ENTERTAINMENT,Hugh Grant Marries For The First Time At Age 57,Ron Dicker,https://www.huffingtonpost.com/entry/hugh-grant-marries_us_5b09212ce4b0568a880b9a8c,The actor and his longtime girlfriend Anna Eberstein tied the knot in a civil ceremony.,2018-05-26,,https://img.huffingtonpost.com/asset/5beb23a0200000ce050292ad.jpeg?ops=scalefit_960_noupscale,2.683063371478056e-07,0.0037469693925231695,0.9962527751922607
25,25.0,ENTERTAINMENT,Hugh Grant Marries For The First Time At Age 57,Ron Dicker,https://www.huffingtonpost.com/entry/hugh-grant-marries_us_5b09212ce4b0568a880b9a8c,The actor and his longtime girlfriend Anna Eberstein tied the knot in a civil ceremony.,2018-05-26,"Ron Dicker - General Assignment Reporter, HuffPost",https://img.huffingtonpost.com/asset/5cd400b62100005900d41396.jpg?ops=100_100,0.0416606068611145,0.7259010076522827,0.0
26,26.0,ENTERTAINMENT,Hugh Grant Marries For The First Time At Age 57,Ron Dicker,https://www.huffingtonpost.com/entry/hugh-grant-marries_us_5b09212ce4b0568a880b9a8c,The actor and his longtime girlfriend Anna Eberstein tied the knot in a civil ceremony.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb3d1d250000845032edbe.jpeg?ops=92_92,0.0166323184967041,0.9465330243110657,0.0
27,27.0,ENTERTAINMENT,Hugh Grant Marries For The First Time At Age 57,Ron Dicker,https://www.huffingtonpost.com/entry/hugh-grant-marries_us_5b09212ce4b0568a880b9a8c,The actor and his longtime girlfriend Anna Eberstein tied the knot in a civil ceremony.,2018-05-26,,https://img.huffingtonpost.com/asset/62bae6ed210000bf375ee937.jpeg?cache=XvO6LwHdKL&ops=92_92,0.0026957497466355562,0.8696470856666565,0.0
28,28.0,ENTERTAINMENT,Hugh Grant Marries For The First Time At Age 57,Ron Dicker,https://www.huffingtonpost.com/entry/hugh-grant-marries_us_5b09212ce4b0568a880b9a8c,The actor and his longtime girlfriend Anna Eberstein tied the knot in a civil ceremony.,2018-05-26,,https://img.huffingtonpost.com/asset/62bad7102500002549474bca.jpeg?cache=DmFZo6tnRV&ops=92_92,0.010526278987526894,0.7805275917053223,0.0
29,29.0,ENTERTAINMENT,Hugh Grant Marries For The First Time At Age 57,Ron Dicker,https://www.huffingtonpost.com/entry/hugh-grant-marries_us_5b09212ce4b0568a880b9a8c,The actor and his longtime girlfriend Anna Eberstein tied the knot in a civil ceremony.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb42f12500000a38474c6a.jpeg?cache=2rpzBgHXMJ&ops=92_92,0.00023325314396061003,0.005731332581490278,0.9940353631973267
30,30.0,ENTERTAINMENT,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Ron Dicker,https://www.huffingtonpost.com/entry/jim-carrey-adam-schiff-democrats_us_5b0950e8e4b0fdb2aa53e675,The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,2018-05-26,Ron Dicker,https://img.huffingtonpost.com/asset/5cd400b62100005900d41396.jpg?ops=100_100,0.059064485132694244,0.0024153192061930895,0.9385201930999756
31,31.0,ENTERTAINMENT,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Ron Dicker,https://www.huffingtonpost.com/entry/jim-carrey-adam-schiff-democrats_us_5b0950e8e4b0fdb2aa53e675,The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,2018-05-26,Adam Schiff just got his butt kicked by a Jim Carrey painting.,https://img.huffingtonpost.com/asset/5b095ee61e00002c008e6abb.jpeg?ops=scalefit_720_noupscale,0.9711394309997559,0.01233193650841713,0.0
32,32.0,ENTERTAINMENT,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Ron Dicker,https://www.huffingtonpost.com/entry/jim-carrey-adam-schiff-democrats_us_5b0950e8e4b0fdb2aa53e675,The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,2018-05-26,,https://img.huffingtonpost.com/asset/5beb23a0200000ce050292ad.jpeg?ops=scalefit_960_noupscale,7.914862180768978e-06,0.0001944784598890692,0.9997976422309875
33,33.0,ENTERTAINMENT,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Ron Dicker,https://www.huffingtonpost.com/entry/jim-carrey-adam-schiff-democrats_us_5b0950e8e4b0fdb2aa53e675,The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,2018-05-26,"Ron Dicker - General Assignment Reporter, HuffPost",https://img.huffingtonpost.com/asset/5cd400b62100005900d41396.jpg?ops=100_100,0.030027788132429123,0.8512904644012451,0.0
34,34.0,ENTERTAINMENT,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Ron Dicker,https://www.huffingtonpost.com/entry/jim-carrey-adam-schiff-democrats_us_5b0950e8e4b0fdb2aa53e675,The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb3d1d250000845032edbe.jpeg?ops=92_92,0.4648129642009735,0.4974498450756073,0.0
35,35.0,ENTERTAINMENT,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Ron Dicker,https://www.huffingtonpost.com/entry/jim-carrey-adam-schiff-democrats_us_5b0950e8e4b0fdb2aa53e675,The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,2018-05-26,,https://img.huffingtonpost.com/asset/62bae6ed210000bf375ee937.jpeg?cache=XvO6LwHdKL&ops=92_92,0.007504816632717848,0.8618531227111816,0.0
36,36.0,ENTERTAINMENT,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Ron Dicker,https://www.huffingtonpost.com/entry/jim-carrey-adam-schiff-democrats_us_5b0950e8e4b0fdb2aa53e675,The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,2018-05-26,,https://img.huffingtonpost.com/asset/62bad7102500002549474bca.jpeg?cache=DmFZo6tnRV&ops=92_92,0.03098217397928238,0.9621391892433167,0.0
37,37.0,ENTERTAINMENT,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Ron Dicker,https://www.huffingtonpost.com/entry/jim-carrey-adam-schiff-democrats_us_5b0950e8e4b0fdb2aa53e675,The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb42f12500000a38474c6a.jpeg?cache=2rpzBgHXMJ&ops=92_92,0.0065850974060595036,0.11409598588943481,0.0
38,38.0,ENTERTAINMENT,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Ron Dicker,https://www.huffingtonpost.com/entry/jim-carrey-adam-schiff-democrats_us_5b0950e8e4b0fdb2aa53e675,The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,2018-05-26,,https://img.huffingtonpost.com/asset/62bacdd82500000745474bc0.jpeg?ops=92_92,0.0010850282851606607,0.940734326839447,0.0
39,39.0,ENTERTAINMENT,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork,Ron Dicker,https://www.huffingtonpost.com/entry/jim-carrey-adam-schiff-democrats_us_5b0950e8e4b0fdb2aa53e675,The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb083f210000744f5ee967.jpeg?cache=fDTPw8dBXb&ops=434_244%2Cquality_75,0.00017209323414135724,0.00012109817180316895,0.9997068047523499
40,40.0,ENTERTAINMENT,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Ron Dicker,https://www.huffingtonpost.com/entry/julianna-margulies-trump-poop-bag_us_5b093ec2e4b0fdb2aa53df70,"The ""Dietland"" actress said using the bags is a ""really cathartic, therapeutic moment.""",2018-05-26,Ron Dicker,https://img.huffingtonpost.com/asset/5cd400b62100005900d41396.jpg?ops=100_100,7.5554785325948615e-06,0.9788811206817627,0.0
41,41.0,ENTERTAINMENT,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Ron Dicker,https://www.huffingtonpost.com/entry/julianna-margulies-trump-poop-bag_us_5b093ec2e4b0fdb2aa53df70,"The ""Dietland"" actress said using the bags is a ""really cathartic, therapeutic moment.""",2018-05-26,,https://img.huffingtonpost.com/asset/62b4ca7d210000133d5ee3de.jpg?cache=4zRb55wGC5&ops=210_120,1.3433903234272293e-07,0.05827461555600166,0.0
42,42.0,ENTERTAINMENT,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Ron Dicker,https://www.huffingtonpost.com/entry/julianna-margulies-trump-poop-bag_us_5b093ec2e4b0fdb2aa53df70,"The ""Dietland"" actress said using the bags is a ""really cathartic, therapeutic moment.""",2018-05-26,,https://img.huffingtonpost.com/asset/62ba3a11220000a0394f7d51.png?cache=yQ0HvPrhY8&ops=210_120,3.219776999685564e-06,0.00899515487253666,0.0
43,43.0,ENTERTAINMENT,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Ron Dicker,https://www.huffingtonpost.com/entry/julianna-margulies-trump-poop-bag_us_5b093ec2e4b0fdb2aa53df70,"The ""Dietland"" actress said using the bags is a ""really cathartic, therapeutic moment.""",2018-05-26,,https://img.huffingtonpost.com/asset/62b369442500006e3a32e5c3.jpeg?cache=ORpa90soPo&ops=210_120,0.0015262528322637081,0.04237887263298035,0.0
44,44.0,ENTERTAINMENT,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Ron Dicker,https://www.huffingtonpost.com/entry/julianna-margulies-trump-poop-bag_us_5b093ec2e4b0fdb2aa53df70,"The ""Dietland"" actress said using the bags is a ""really cathartic, therapeutic moment.""",2018-05-26,,https://img.huffingtonpost.com/asset/5beb23a0200000ce050292ad.jpeg?ops=scalefit_960_noupscale,5.807542947877664e-06,4.086638909939211e-06,0.9999901056289673
45,45.0,ENTERTAINMENT,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Ron Dicker,https://www.huffingtonpost.com/entry/julianna-margulies-trump-poop-bag_us_5b093ec2e4b0fdb2aa53df70,"The ""Dietland"" actress said using the bags is a ""really cathartic, therapeutic moment.""",2018-05-26,"Ron Dicker - General Assignment Reporter, HuffPost",https://img.huffingtonpost.com/asset/5cd400b62100005900d41396.jpg?ops=100_100,0.4876997172832489,0.07088430970907211,0.0
46,46.0,ENTERTAINMENT,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Ron Dicker,https://www.huffingtonpost.com/entry/julianna-margulies-trump-poop-bag_us_5b093ec2e4b0fdb2aa53df70,"The ""Dietland"" actress said using the bags is a ""really cathartic, therapeutic moment.""",2018-05-26,,https://img.huffingtonpost.com/asset/62bb3d1d250000845032edbe.jpeg?ops=92_92,0.26947179436683655,0.5857426524162292,0.0
47,47.0,ENTERTAINMENT,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Ron Dicker,https://www.huffingtonpost.com/entry/julianna-margulies-trump-poop-bag_us_5b093ec2e4b0fdb2aa53df70,"The ""Dietland"" actress said using the bags is a ""really cathartic, therapeutic moment.""",2018-05-26,,https://img.huffingtonpost.com/asset/62bae6ed210000bf375ee937.jpeg?cache=XvO6LwHdKL&ops=92_92,0.35041773319244385,0.5593553185462952,0.0
48,48.0,ENTERTAINMENT,Julianna Margulies Uses Donald Trump Poop Bags To Pick Up After Her Dog,Ron Dicker,https://www.huffingtonpost.com/entry/julianna-margulies-trump-poop-bag_us_5b093ec2e4b0fdb2aa53df70,"The ""Dietland"" actress said using the bags is a ""really cathartic, therapeutic moment.""",2018-05-26,,https://img.huffingtonpost.com/asset/62bad7102500002549474bca.jpeg?cache=DmFZo6tnRV&ops=92_92,0.992685079574585,0.0016350143123418093,0.0
